pH,Moisture,Nitrogen,Phosphorus,Potassium,Suitable_Seed
6.5,40.0,30.0,20.0,25.0,Wheat
7.2,50.0,20.0,30.0,40.0,Rice
6.8,35.0,25.0,35.0,30.0,Cotton
6.0,45.0,15.0,25.0,20.0,Barley
7.0,55.0,30.0,25.0,35.0,Maize
6.2,40.0,20.0,20.0,30.0,Soybean
6.6,42.0,28.0,22.0,27.0,Sorghum
7.1,48.0,22.0,28.0,38.0,Oats
6.9,37.0,26.0,34.0,32.0,Sunflower
6.3,46.0,18.0,24.0,22.0,Rye
7.3,53.0,32.0,27.0,36.0,Millet
6.4,41.0,24.0,21.0,29.0,Peas
6.7,39.0,29.0,33.0,28.0,Lentils
6.1,43.0,17.0,23.0,24.0,Chickpeas
7.4,51.0,31.0,26.0,37.0,Quinoa
6.2,38.0,21.0,19.0,31.0,Flax
6.9,47.0,27.0,32.0,34.0,Mustard
6.5,44.0,19.0,25.0,23.0,Hemp
7.0,52.0,29.0,29.0,33.0,Teff
6.6,40.0,23.0,22.0,26.0,Amaranth
6.3,45.0,18.0,20.0,30.0,Buckwheat
7.1,50.0,25.0,31.0,39.0,Sesame
6.8,37.0,26.0,36.0,31.0,Chia
6.0,46.0,14.0,26.0,21.0,Barley
7.2,54.0,31.0,24.0,34.0,Corn
6.4,41.0,25.0,20.0,28.0,Beans
6.9,48.0,22.0,35.0,33.0,Sunflower
6.1,42.0,19.0,22.0,25.0,Lentils
7.3,51.0,28.0,27.0,37.0,Quinoa
6.5,39.0,21.0,18.0,29.0,Soybean
6.7,43.0,20.0,30.0,32.0,Mustard
6.2,36.0,17.0,20.0,26.0,Flax
7.0,49.0,26.0,32.0,35.0,Oats
6.6,44.0,20.0,23.0,28.0,Hemp
6.8,38.0,27.0,34.0,30.0,Chia
6.3,45.0,16.0,24.0,27.0,Peas
7.2,53.0,30.0,29.0,36.0,Corn
6.4,41.0,23.0,21.0,31.0,Beans
6.9,48.0,19.0,33.0,32.0,Sunflower
6.1,40.0,18.0,22.0,25.0,Lentils
7.4,52.0,28.0,26.0,37.0,Quinoa
6.5,39.0,21.0,19.0,29.0,Soybean
6.7,43.0,20.0,30.0,32.0,Mustard
6.0,35.0,14.0,19.0,24.0,Barley
7.0,49.0,25.0,32.0,34.0,Oats
6.6,44.0,22.0,23.0,28.0,Hemp
6.2,37.0,18.0,20.0,27.0,Flax
7.1,50.0,26.0,31.0,35.0,Teff
6.4,42.0,19.0,22.0,30.0,Beans
6.9,47.0,23.0,34.0,31.0,Chia
6.3,44.0,17.0,24.0,29.0,Peas
7.2,51.0,27.0,28.0,36.0,Rice
6.5,40.0,21.0,20.0,28.0,Millet
6.8,36.0,25.0,35.0,21.0,Quinoa
6.0,46.0,15.0,25.0,34.0,Sorghum
7.3,54.0,30.0,25.0,35.0,Sunflower
6.4,42.0,24.0,22.0,29.0,Amaranth
6.9,46.0,26.0,34.0,32.0,Barley
6.2,37.0,17.0,20.0,26.0,Buckwheat
7.1,50.0,28.0,31.0,39.0,Rye
6.3,41.0,22.0,21.0,30.0,Soybean
6.7,39.0,29.0,30.0,31.0,Wheat
6.0,43.0,20.0,19.0,28.0,Chickpeas
7.2,50.0,25.0,31.0,36.0,Lentils
6.5,38.0,21.0,20.0,30.0,Teff
6.8,46.0,25.0,30.0,32.0,Oats
6.1,44.0,16.0,19.0,24.0,Corn
7.3,52.0,28.0,29.0,39.0,Sesame
6.4,41.0,21.0,20.0,28.0,Millet
6.9,49.0,23.0,34.0,31.0,Peas
6.2,37.0,18.0,21.0,27.0,Rye
7.1,51.0,28.0,31.0,35.0,Quinoa
6.6,40.0,22.0,23.0,28.0,Beans
6.3,42.0,18.0,21.0,30.0,Sunflower
7.1,45.0,26.0,32.0,25.0,Wheat
6.5,50.0,25.0,30.0,39.0,Sorghum
6.8,39.0,22.0,21.0,29.0,Chia
6.0,48.0,14.0,19.0,32.0,Soybean
7.4,43.0,31.0,29.0,26.0,Teff
6.4,51.0,23.0,21.0,31.0,Chickpeas
6.9,40.0,19.0,27.0,24.0,Amaranth
6.1,45.0,18.0,22.0,33.0,Barley
7.3,37.0,28.0,30.0,27.0,Flax
6.5,50.0,21.0,23.0,35.0,Mustard
6.7,42.0,20.0,19.0,28.0,Oats
6.2,47.0,17.0,18.0,31.0,Buckwheat
7.0,44.0,26.0,32.0,29.0,Lentils
6.6,50.0,22.0,23.0,35.0,Corn
6.3,41.0,19.0,20.0,28.0,Millet
7.1,49.0,25.0,22.0,32.0,Peas
6.4,37.0,18.0,23.0,27.0,Rye
6.9,53.0,30.0,29.0,36.0,Beans
6.0,40.0,21.0,21.0,28.0,Quinoa

